auditory_attention,visual_attention,interest,stress,engagement,class
0.4956315,0.46732475,0.551909,0.881903,0.6918765,funny
0.48577525,0.48049325,0.541309,0.882914,0.6945085,funny
0.4912175,0.499161,0.53983225,0.874227,0.70603125,funny
0.4984125,0.5147605,0.54419325,0.84898525,0.71912075,funny
0.49756225,0.519771,0.547875,0.81916,0.72525925,funny
0.49454175,0.5230495,0.56357025,0.786692,0.73223725,funny
0.49843775,0.51392775,0.5876075,0.7234555,0.74254175,funny
0.51074175,0.49966375,0.60041675,0.64972825,0.743595,funny
0.5235635,0.48341725,0.62039275,0.59675175,0.74128975,funny
0.5343605,0.46488625,0.62847225,0.57451175,0.76303525,funny
0.53756275,0.45366675,0.60887375,0.56369675,0.792665,funny
0.5362085,0.45369625,0.5906365,0.53355125,0.804138,funny
0.542498,0.46620475,0.57599725,0.52091375,0.80175025,funny
0.55696575,0.48437025,0.56615275,0.5005515,0.79810275,funny
0.57101725,0.49872425,0.5578445,0.46446425,0.78909175,funny
0.58197875,0.503095,0.55146625,0.44603375,0.7730895,funny
0.58776325,0.50859975,0.54728525,0.4245615,0.75612425,funny
0.5937415,0.508552,0.54300625,0.38996225,0.75705325,funny
0.6082025,0.516287,0.5409785,0.36064525,0.77385325,funny
0.62942275,0.53950625,0.5448455,0.38671525,0.797891,funny
0.64153775,0.56838225,0.55460875,0.47428125,0.81507625,funny
0.640501,0.59095475,0.57031975,0.51935375,0.8123935,funny
0.63215225,0.59847975,0.56894475,0.53562125,0.79012675,funny
0.61860775,0.59649175,0.560432,0.54507425,0.7695605,funny
0.59916675,0.58579225,0.5549525,0.5627705,0.757732,funny
0.5837805,0.56898225,0.551962,0.57799725,0.742985,funny
0.570328,0.55101475,0.5525845,0.54942525,0.72735725,funny
0.56357625,0.53987475,0.5508605,0.5514515,0.7220575,funny
0.55578875,0.5357665,0.552372,0.5866335,0.717063,funny
0.539476,0.52244375,0.55396175,0.56986125,0.70888525,funny
0.52330625,0.5000965,0.55295,0.58646875,0.6967845,funny
0.50578075,0.478699,0.5489225,0.60804425,0.67948475,funny
0.488503,0.46947025,0.5483115,0.5926125,0.665035,funny
0.47667525,0.4620295,0.5482295,0.56664,0.66100125,funny
0.48086025,0.46758725,0.54935575,0.53878425,0.668109,funny
0.506097,0.49182375,0.551233,0.53659925,0.6773435,funny
0.52995175,0.521436,0.55588775,0.536365,0.68267925,funny
0.549258,0.548148,0.55993075,0.51246325,0.6815575,funny
0.5665855,0.562344,0.5565605,0.480565,0.685672,funny
0.58916225,0.5802245,0.5550115,0.4810495,0.71395,funny
0.61277625,0.6024875,0.5572075,0.512134,0.75563575,funny
0.62371575,0.608945,0.55394875,0.53467525,0.792123,funny
0.6184865,0.59219475,0.55047775,0.53812275,0.81166025,funny
0.6076325,0.57031525,0.55253675,0.54720725,0.82163775,funny
0.60503425,0.5577725,0.5533975,0.541633,0.83084125,funny
0.60524875,0.55264725,0.55375875,0.556518,0.82949725,funny
0.6129015,0.5587365,0.55670325,0.56260125,0.809318,funny
0.60650625,0.56007175,0.55915625,0.544957,0.78030375,funny
0.60051875,0.561905,0.557959,0.552136,0.7506145,funny
0.59661675,0.561376,0.556695,0.564196,0.74187,funny
0.59983875,0.56224525,0.5569425,0.55620275,0.7572505,funny
0.606319,0.5699425,0.555427,0.55375475,0.77726725,funny
0.607104,0.57269775,0.5639995,0.5791395,0.78629725,funny
0.59825325,0.566958,0.5921725,0.597041,0.77562375,funny
0.58641325,0.55030725,0.60246625,0.56252975,0.7549225,funny
0.58055625,0.527414,0.58194875,0.538793,0.73573075,funny
0.58170775,0.51663775,0.5657845,0.52703075,0.72177725,funny
0.590965,0.51720825,0.5625675,0.49880825,0.7285245,funny
0.603548,0.519561,0.56087475,0.4867845,0.745817,funny
0.610097,0.5198805,0.56330725,0.47902675,0.76067875,funny
0.598651,0.51682325,0.57794725,0.46512625,0.76074625,funny
0.585941,0.51384875,0.56882325,0.4615075,0.75074925,funny
0.58057025,0.51193375,0.546961,0.44777825,0.725692,funny
0.57607575,0.50496725,0.5409165,0.4432265,0.70935325,funny
0.57470825,0.50241875,0.54893625,0.4085335,0.70309275,funny
0.565369,0.4928525,0.5545335,0.3596245,0.70619275,funny
0.55018975,0.47685975,0.55609,0.3234405,0.708565,funny
0.5425215,0.46250975,0.55610575,0.30700825,0.71402,funny
0.5404085,0.4571035,0.5477175,0.2948565,0.7116125,funny
0.5242555,0.452782,0.5373455,0.33865575,0.70686025,funny
0.501622,0.4447355,0.54271475,0.370883,0.6983055,funny
0.470707,0.4318385,0.552943,0.3958185,0.6871665,funny
0.45447475,0.42822275,0.5562535,0.4616365,0.685085,funny
0.45315725,0.4324545,0.5544795,0.4992215,0.6988575,funny
0.46020825,0.4430325,0.550706,0.51431425,0.72277925,funny
0.468872,0.45305,0.55521575,0.5570185,0.73659425,funny
0.4843865,0.476265,0.57425775,0.6016815,0.733963,funny
0.50223175,0.505141,0.610742,0.59596025,0.7213495,funny
0.51486525,0.52603475,0.61949075,0.5896115,0.70453525,funny
0.520749,0.53787025,0.6025725,0.61141825,0.692203,funny
0.51968525,0.53639325,0.5966895,0.6093345,0.70106675,funny
0.5234605,0.53781975,0.5878055,0.55311275,0.726933,funny
0.52565775,0.5332145,0.5847195,0.54394875,0.73697825,funny
0.497618,0.52037725,0.63978525,0.60045975,0.7202895,funny
0.496443,0.52019125,0.623291,0.62043325,0.6989835,funny
0.50385325,0.5230365,0.60509925,0.60648,0.6882715,funny
0.50975275,0.52759275,0.59297775,0.566841,0.67726875,funny
0.51147725,0.53279375,0.580406,0.56819175,0.6706005,funny
0.516388,0.53792575,0.572856,0.58623025,0.67749275,funny
0.5196425,0.5350595,0.5680555,0.5664675,0.68676025,funny
0.51685975,0.52719325,0.5648095,0.5651465,0.6924845,funny
0.50377,0.511856,0.56765925,0.5824805,0.68976575,funny
0.4941,0.50273325,0.5683365,0.58949375,0.67605425,funny
0.4913975,0.502577,0.5699765,0.548538,0.6571835,funny
0.5033785,0.51923775,0.57384425,0.5066315,0.6340825,funny
0.52944675,0.54697375,0.574349,0.4799235,0.62958025,funny
0.56113025,0.56254175,0.57211775,0.46625925,0.64222775,funny
0.58597425,0.5671515,0.56764725,0.45723775,0.67033775,funny
0.59626275,0.55532075,0.56992725,0.4309245,0.697048,funny
0.5970395,0.54920025,0.569315,0.423197,0.713988,funny
0.597256,0.54986075,0.57568175,0.398669,0.7183275,funny
0.5926425,0.54914075,0.58024275,0.38207625,0.71193125,funny
0.58676625,0.54430575,0.5708085,0.4206065,0.703491,funny
0.58701525,0.54532,0.56489725,0.50017575,0.70224975,funny
0.58956625,0.5589895,0.5677305,0.5451075,0.71363125,funny
0.586808,0.57370225,0.58362575,0.554442,0.72759025,funny
0.57526525,0.56985175,0.59053825,0.577044,0.72961725,funny
0.5751625,0.5642625,0.5797495,0.6399145,0.72225525,funny
0.57623225,0.565613,0.5741845,0.65613475,0.713528,funny
0.57451825,0.575092,0.57142625,0.62447175,0.71482625,funny
0.56453625,0.57673525,0.569372,0.6649195,0.7209325,funny
0.55523375,0.57827475,0.56868025,0.7293285,0.7292125,funny
0.5333065,0.56601625,0.572026,0.7682785,0.72748,funny
0.513422,0.54895475,0.57865825,0.7495505,0.71227725,funny
0.50920025,0.544444,0.57855825,0.6751215,0.70084175,funny
0.5364435,0.55992125,0.575319,0.63984225,0.7048915,funny
0.57006825,0.58275325,0.5764425,0.609581,0.70709,funny
0.6012435,0.60993875,0.573733,0.53944025,0.70423325,funny
0.63526975,0.63706125,0.56754925,0.4921555,0.7049,funny
0.65411425,0.65261825,0.56737725,0.49915625,0.71109825,funny
0.65315775,0.649929,0.571253,0.513923,0.7147055,funny
0.63891425,0.6418055,0.5737695,0.518322,0.70710675,funny
0.632098,0.63169175,0.5803925,0.51092275,0.6971805,funny
0.62890325,0.6221065,0.5862695,0.51692875,0.6830745,funny
